region,district,area
Ashanti,Mampong,Atunso
Volta,Ho West,Atunde
Bono,Jaman South,Atuna
Bono,Berekum,Nkyekyemamu
Eastern,East Akim,Atukrom
Western,Ahanta West,Atuabu
Western,Unknown,Atuabo
Volta,Afadzato South,Atsukofe
Central,Ekumfi,Atsuakrom
Volta,Keta,Atsime
Volta,Ho,Atsiati
Volta,Ho,Atsame
Western North,Bibiani/Ahwiaso/Bekwai,Atruinso
Volta,South Tongu District,Atropo
Bono,Sunyani,Atronie
Volta,South Tongu District,Atravenu
Central,Komenda/Edina/Eguafo/Abirem,Atrankwa
Ashanti,Afigya-Kwabre District,Atrama
Western,Nzema East,Adrekezo
Western,Jomoro,Atrabasa
Ashanti,Adansi North,Atotrem
Western,Unknown,Atoransu
Western,Prestea-Huni Valley,Atobiasi
Ashanti,Kumasi,Atonsu
Central,Assin North,Atonsu
Eastern,Kwahu Afram Plains South,Atonso
Ashanti,Sekyere Central,Atonso
Oti,Jasikan,Atonko
Eastern,Upper West Akim,Atoman
Ahafo,Asunafo North,Atom
Western,Wassa Amenfi West,Atokoso
Volta,Keta,Atokogblefo
Western,Tarkwa Nsuaem,Atokobaka
Volta,Keta,Atoko
Central,Assin North,Atofroso
Eastern,Kwaebibirem,Atobriso
Ashanti,Asante Akim North,Atobiasi
Ashanti,Bosomtwe,Atobiase
Ashanti,Amansie Central,Atobiase
Ashanti,Adansi South,Atobiasi
Central,Upper Denkyira East,Atobiasi
Western,Mpohor/Wassa East,Wasa Atobiase
Western,Wassa Amenfi West,Atobiasi
Ashanti,Asante Akim North,Atoasi
Ashanti,Amansie Central,Atoatima
Western,Tarkwa Nsuaem,Atoabo
Central,Assin North,Atoabasa
Volta,Ketu South District,Ato
Upper East,Kassena Nankana,Atiyoro
Eastern,Atiwa,Atiwiredu
Volta,Keta,Atito
Volta,Ketu North District,Atititi
Volta,North Tongu,Atiteti
Volta,Keta,Atiteti
Volta,North Tongu,Atitekpo
Volta,North Tongu,Atitekpe
Volta,South Tongu District,Atinyave
Western,Wassa Amenfi West,Atinikrom
Western,Ahanta West,Atinkyin
Ashanti,Unknown,Asukokoo
Eastern,Asuogyaman,Atimpoko
Eastern,Upper West Akim,Atimatim
Volta,Ho,Atikpui
Volta,Akatsi South,Atijive
Volta,Adaklu,Atihwi
Volta,Akatsi District,Atiglime
Volta,Ho,Atidje
Eastern,Kwahu South,Atibie
Volta,Keta,Atiavi
Eastern,Birim Central,Atiankama
Central,Gomoa West,Atiandi
Western,Ellembelle,Atiakrom
Volta,South Dayi,Atiafo
Volta,Ho,Atia
Western North,Juaboso,Eteso
Bono,Dormaa,Atesikurom
Central,Agona West,Ateplo
Ashanti,Sekyere Afram Plains,Atenteboa
Central,Assin North,Atentang
Ashanti,Asante Akim North,Atem
Central,Effutu,Ateitu
Western,Mpohor/Wassa East,Ateiku
Central,Upper Denkyira East,Atechem
Central,Komenda/Edina/Eguafo/Abirem,Atechem
Central,Asikuma/Odoben/Brakwa,Atechem
Ashanti,Asante Akim South District,Atechem
Bono East,Atebubu-Amantin District,Atebubu
Western,Mpohor,Atebiasane
Western,Wassa Amenfi Central,Atebakrom
Greater Accra,Shai Osudoku District,Atawtrobenya
Greater Accra,Ada East,Atawtawkope
Ahafo,Unknown,Atawora
Ashanti,Amansie West,Atawbrakrom
Ashanti,Adansi North,Atatem
Eastern,Kwahu West,Atata
Ashanti,Kumasi,Atasomanso
Ashanti,Adansi South,Atasi Nkwanta
Ashanti,Ahafo Ano South,Atasi
Ashanti,Adansi South,Atasi
Western,Wassa Amenfi East,Atasi
Western,Wassa Amenfi West,Atasi
Western,Mpohor/Wassa East,Atasi
Western,Ahanta West,Adelazo
Upper East,Bawku West,Tarikomtili
Ashanti,Asante Akim North,Atara
Eastern,Kwahu East,Ataniata
Western,Prestea-Huni Valley,Ataniata
Western,Wassa Amenfi Central,Ataniata
Western North,Unknown,Atangwen Falls
Western North,Aowin/Suaman,Atanaya
Volta,Akatsi District,Atamvekofe
Ashanti,Atwima Nwabiagya,Atamso
Upper East,Kassena Nankana,Atamolga
Volta,Keta,Atame
Ashanti,Unknown,Atam
Eastern,Kwahu Afram Plains South,Atam
Central,Gomoa East,Atakwa
Central,Ekumfi,Atakwa
Ashanti,Sekyere East,Atakrom
Western North,Aowin/Suaman,Atakrom
Western,Wassa Amenfi West,Atakrom
Central,Ajumako/Enyan/Essiam,Atakroasi
Ashanti,Asante Akim South District,Atakofikrom
Ashanti,Asante Akim South District,Atakofi
Ashanti,Bosomtwe,Atafram
Central,Effutu,Atachera
Volta,Hohoe,Atabu
Western,Jomoro,Atabrakoswaso
Ashanti,Ahafo Ano South,Nyamebekyere
Western,Wassa Amenfi Central,Atabawso
Central,Komenda/Edina/Eguafo/Abirem,Atabadzi
Western,Ellembelle,Atababo
Ashanti,Amansie West,Ataasi
Ashanti,Unknown,Asufu
Western,Jomoro,Asuswaso
Eastern,Akuapim North,Asuoya
Ashanti,Sekyere Central,Asuowaso
Bono,Dormaa East,Asuotia
Western,Ellembelle,Asuoti
Western North,Aowin/Suaman,Asuonkwai
Eastern,Kwaebibirem,Asuom
Eastern,Upper West Akim,Asuom
Eastern,West Akim,Asuokawso
Ashanti,Amansie West,Asuokaw Aboi
Eastern,Upper West Akim,Asuokaw
Bono,Jaman South,Asuogya
Ashanti,Atwima Mponua,Asuoja
Western,Tarkwa Nsuaem,Asuoja
Western,Prestea-Huni Valley,Asuohiami
Bono,Wenchi,Sofiri
Ashanti,Atwima Nwabiagya,Asuofuo
Central,Awutu Senya,Asuobonta
Western,Mpohor/Wassa East,Asuoanjo
Ashanti,Obuasi,Asunsume
Ashanti,Unknown,Asunsu
Western,Unknown,Asunsu
Bono,Dormaa,Asunso
Central,Assin North,Asunso
Western,Wassa Amenfi Central,Asundwia
Western,Nzema East,Asundi
Central,Assin North,Asunaso
Ashanti,Sekyere Afram Plains,Asunafo
Ashanti,Asante Akim North,Asunafo
Eastern,Atiwa,Asunafo
Eastern,West Akim,Asumpa
Eastern,Upper West Akim,Asumpa
Ashanti,Sekyere Afram Plains,Asumkrom
Ashanti,Afigya-Kwabre District,Asumjwi
Ashanti,Atwima Nwabiagya,Asumenya
Ashanti,Kwabre District,Asumenya
Ashanti,Adansi South,Asuminem
Western,Mpohor/Wassa East,Asuminem
Ashanti,Ejura Sekyedumase,Asumen
Central,Agona East,Asumen
Western North,Aowin/Suaman,Asumankro
Western,Wassa Amenfi East,Asumana
Central,Ekumfi,Asukwa
Ahafo,Unknown,Asukese Forest Reserve
Bono,Unknown,Asukese
Ahafo,Unknown,Asukese
Central,Unknown,Asukese
Ahafo,Tano North,Asukese
Ashanti,Sekyere East,Asukawkaw
Central,Asikuma/Odoben/Brakwa,Asukawkaw
Western,Wassa Amenfi Central,Asuhan
Ashanti,Unknown,Asufu Shelterbelt Forest Reserve
Ahafo,Unknown,Asuafu
Ashanti,Adansi South,Asuenyum
Western,Wassa Amenfi West,Asuentem
Eastern,Upper West Akim,Asudom
Ashanti,Ejisu Juaben,Asuchwi
Greater Accra,Shai Osudoku District,Asuchuali
Ashanti,Bekwai,Asubuokrom
Ashanti,Asante Akim South District,Asubua
Eastern,Asuogyaman,Asubrempong
Western,Ellembelle,Asuboswaso
Western,Ellembelle,Asobasuazo
Central,Effutu,Asubonpani
Eastern,Kwahu West,Asuboni Station
Eastern,Kwahu South,Asuboni
Eastern,Kwahu West,Asuboni
Eastern,Denkyembour,Asuboni
Ashanti,Sekyere Afram Plains,Asubon
Ahafo,Tano North,Esubonpan
Eastern,Ayensuano,Asuboi
Central,Agona East,Asuboi
Western,Mpohor/Wassa East,Asuboi
Western,Ahanta West,Asubey
Eastern,Birim Central,Asuboa
Central,Assin South,Asuboa
Bono East,Techiman Municipal District,Asoee
Ashanti,Offinso North,Asuasu
Eastern,Birim Central,Asuaso
Ashanti,Ejisu Juaben,Asuasi
Western North,Bia,Asuentaa
Central,Abura/Asebu/Kwamankese,Asuansi
Western,Unknown,Asuampon
Western,Prestea-Huni Valley,Asoampa
Bono,Sunyani West,Asuakwa
Bono,Jaman North,Asuokoo
Bono,Tain,Asuafu
Ashanti,Amansie West,Asuadai
Ashanti,Kumasi,Asuoyeboa
Greater Accra,Ga West,Asuaba
Western,Ellembelle,Azulenloanu
Central,Agona West,Asrunumsu
Ashanti,Atwima Nwabiagya,Asenemaso
Eastern,Akuapim North,Asrema
Western,Ahanta West,Aspei
Volta,Afadzato South,Asotodji
Ashanti,Sekyere Afram Plains,Asoso
Upper East,Bolgatanga Municipal District,Asong
Ashanti,Sekyere Afram Plains,Asonari
Ashanti,Ahafo Ano South,Kwakuakwakurom
Western,Prestea-Huni Valley,Asomasi
Central,Gomoa West,Asomanku
Greater Accra,Tema Metropolitan District,Asokrochona
Ashanti,Asokore Mampong Municipal,Asokore Mampon
Ashanti,Sekyere East,Asokori
Eastern,New Juaben,Asokori
Ashanti,Bekwai,Asokore
Volta,Ho,Asokope
Volta,Ketu South District,Asogo
Greater Accra,Ga West,Asofaa
Eastern,Akyemansa,Asoboa
Ashanti,Bosome Freho,Asiwa
Eastern,Lower Manya Krobo,Asiti
Ashanti,Bosomtwe,Asisiriwa
Bono,Jaman North,Asiri
Ashanti,Kwabre District,Asennua
Central,Assin North,Asin Nyankumasi
Central,Assin South,Asin Kumasi
Western,Mpohor,Asine
Central,Assin North,Asin Bereku
Western,Wassa Amenfi West,Asin
Western,Wassa Amenfi West,Asimpa
Eastern,Ayensuano,Asimisimiwu
Ashanti,Sekyere Central,Asimawso
Central,Abura/Asebu/Kwamankese,Asimasi
Western North,Aowin/Suaman,Asimakro
Central,Twifo Hemang Lower Denkyira,Asikwa
Eastern,Asuogyaman,Asikuma
Central,Upper Denkyira East,Asikuma
Western,Wassa Amenfi East,Esikuma
Central,Asikuma/Odoben/Brakwa,Asikuma
Western,Prestea-Huni Valley,Asikuma
Western,Mpohor,Asikuma
Ashanti,Unknown,Asikesu
Western,Nzema East,Asikeri
Ashanti,Asante Akim North,Asikawa
Ashanti,Unknown,Asikasu
Ashanti,Amansie Central,Asikasu
Eastern,Upper West Akim,Asikaisu
Eastern,Nsawam Adoagyiri,Asikabiu
Western,Wassa Amenfi East,Asifikrom
Ashanti,Ejisu Juaben,Asiempong
Western,Ahanta West,Asiekrom
Volta,South Tongu District,Asidowui
Western,Wassa Amenfi Central,Asibrim
Eastern,Asuogyaman,Asibi
Eastern,East Akim,Asiakwa
Eastern,Birim South,Asiakwa
Greater Accra,Ga West,Ashwenanmo
Greater Accra,Ga East,Ashonman
Greater Accra,Shai Osudoku District,Ashimi
Greater Accra,Unknown,Ashifura
Western,Wassa Amenfi East,Ashienso
Western North,Bibiani/Ahwiaso/Bekwai,Ashiem
Western,Secondi Takoradi,Ashiam
Central,Agona East,Ashenawuru
Upper East,Bongo District,Ashebre
Ashanti,Unknown,Ashanti Region
Volta,Ho West,Ashanti Kpoeta
Greater Accra,Ga South,Ashaliaman
Greater Accra,Adenta,Ashalebotwe
Greater Accra,Ga South,Ashaaladza
Greater Accra,Ashaiman,Ashaiman
Ashanti,Offinso Municipal District,Asasua
Eastern,Akuapim North,Asesieso
Eastern,Upper Manya Krobo,Asesewa
Western,Wassa Amenfi Central,Aserewadze
Eastern,Akuapim North,Aserima
Western,Nzema East,Aserim
Ashanti,Sekyere South,Asenyebun
Central,Unknown,Asensu
Eastern,Birim North,Aseni Akrofunso
Eastern,Birim Central,Asene
Ashanti,Unknown,Asenanyo Forest Reserve
Ashanti,Unknown,Asawen
Western,Jomoro,Asemswaso
Central,Gomoa West,Asempayin
Eastern,Asuogyaman,Asempaniyi
Bono,Jaman South,Asempaniye
Central,Assin North,Asempaniye
Ashanti,Offinso Municipal District,Nyiniso Number Three
Ashanti,Ahafo Ano South,Asempaneye
Ashanti,Asante Akim North,Asempaneye
Eastern,Kwahu East,Asempaneye
Ashanti,Bosomtwe,Asempaneye
Ashanti,Bekwai,Asempaneye
Ashanti,Amansie Central,Asempaneye
Western North,Bibiani/Ahwiaso/Bekwai,Asempaneye
Ashanti,Obuasi,Asempaneye
Eastern,Ayensuano,Asempaneye
Western,Wassa Amenfi West,Asempaneye
Western,Wassa Amenfi West,Asempaney
Central,Ajumako/Enyan/Essiam,Asempaneye
Eastern,Upper Manya Krobo,Asempaneye
Ashanti,Obuasi,Kwabenaakwakurom
Western,Ahanta West,Asemkaw
Central,Asikuma/Odoben/Brakwa,Asemena
Central,Twifo Hemang Lower Denkyira,Asemboniyehi
Western,Ahanta West,Asemasa
Ashanti,Mampong,Asem
Central,Gomoa East,Aseibu
Ashanti,Offinso North,Aseguasua
Ashanti,Sekyere Afram Plains,Asecherewa
Ashanti,Bekwai,Asekyere
Central,Cape Coast,Asechanu
Upper East,Bongo District,Asebuga
Central,Agona East,Asebu
Central,Abura/Asebu/Kwamankese,Asebu
Central,Asikuma/Odoben/Brakwa,Asebem
Eastern,Kwahu Afram Plains South,Asayensu
Western,Shama,Asawku
Western,Wassa Amenfi West,Asaukrom
Oti,Kadjebi,Asatu
Ashanti,Bosome Freho,Asaso
Western,Wassa Amenfi West,Asaso
Western,Wassa Amenfi Central,Asasitre
Central,Agona West,Asasewomi
Central,Agona East,Asasekwa
Central,Ajumako/Enyan/Essiam,Asasang
Ashanti,Amansie West,Asarekrom
Western North,Aowin/Suaman,Asarekrom
North East,Chereponi,Asare
Bono,Jaman South,Asare
Western,Mpohor,Asaraku
Ashanti,Ejisu Juaben,Asapong
Western North,Sefwi-Wiawso,Sefwi-Asanwenso
Ahafo,Asunafo South,Asawenso
Western North,Bibiani/Ahwiaso/Bekwai,Asawinso
Eastern,Birim Central,Asantimang
Western North,Aowin/Suaman,Asantikrom
Ashanti,Amansie West,Asantikrom
Eastern,Birim South,Asantikrom
Western,Wassa Amenfi Central,Asantikrom
Western,Nzema East,Asantikrom
Western,Prestea-Huni Valley,Asantiayaw
Western,Wassa Amenfi West,Asantiaiyo
Central,Twifo Hemang Lower Denkyira,Asanti
Western,Prestea-Huni Valley,Asanteyao
Central,Asikuma/Odoben/Brakwa,Asantem
Western,Ellembelle,Asanta
Ashanti,Bekwai,Asanso
Western,Shama,Asankrom
Western,Wassa Amenfi West,Asankranguaa
Ashanti,Asante Akim South District,Asankari
Western,Ahanta West,Asane
Western,Ellembelle,Asungrun
Western,Jomoro,Asampe
Western North,Juaboso,Asempanaye
Greater Accra,Ga South,Asamoa
Central,Gomoa East,Asamkrom
Western North,Aowin/Suaman,Asemkrom
Western,Ellembelle,Asemko
Western,Wassa Amenfi Central,Asamkaw
Western,Ellembelle,Asamasi
Ashanti,Asante Akim South District,Asamantekrom
Eastern,West Akim,Asamankese
Ashanti,Offinso Municipal District,Asamankama
Central,Effutu,Asamaniba
Ashanti,Adansi North,Asamangsua
Ashanti,Adansi South,Asamangma
Ashanti,Ejisu Juaben,Asamang-Krofuso
Ashanti,Sekyere South,Asamang
Ashanti,Bekwai,Asamang
Ashanti,Amansie West,Asamang
Eastern,Atiwa,Asamang
Ashanti,Amansie West,Asaman
Ashanti,Adansi South,Asamang
Eastern,Akyemansa,Asamang
Central,Assin North,Asaman
Central,Upper Denkyira East,Asamang
Western North,Aowin/Suaman,Asamang
Central,Ekumfi,Asamang
Western,Secondi Takoradi,Asamang
Western,Wassa Amenfi Central,Asamang
Western,Wassa Amenfi West,Asamang
Eastern,Akuapim North,Asaman
Central,Upper Denkyira East,Asaman
Central,Asikuma/Odoben/Brakwa,Asaman
Eastern,Atiwa,Asamama
Ashanti,Bosome Freho,Asamama
Volta,North Tongu,Asale
Western,Nzema East,Asakwam
Ashanti,Adansi North,Adanse Asokwa
Western North,Sefwi-Wiawso,Essakrom
Central,Gomoa West,Asakro
Ashanti,Atwima Nwabiagya,Asakraka
Eastern,Kwahu South,Asakraka
Volta,Ketu South District,Asaklobo
Eastern,Upper Manya Krobo,Asakeso
Upper East,Bongo District,Asarkanyaa
Western,Secondi Takoradi,Asaka
Volta,Ho,Asafo
Western North,Sefwi-Wiawso,Sefwi Asafo
Eastern,Asuogyaman,Asafo
Eastern,East Akim,Asafo
Central,Agona East,Asafo
Central,Mfatseman,Asafara
Volta,Keta,Asadame
Western,Nzema East,Asabie
Greater Accra,Shai Osudoku District,Asabe
Greater Accra,Ga South,Asabaham
Central,Ekumfi,Asaafa
Western North,Unknown,Asa
Upper West,Lawra,Erimon
Upper West,Unknown,Aruba
Upper East,Bawku West,Aronkpe
Western,Ellembelle,Alabokazo
Upper East,Bawku Municipal District,Ariziem
Upper East,North Builsa District,Adabinsa
Upper East,Unknown,Adaya
Ashanti,Unknown,Arapong
Upper East,Bawku West,Aranga
Upper East,Bawku West,Aragbida
Upper East,Bongo District,Arabe Awolugu
Volta,South Dayi,Apwisihu
Ashanti,Bosomtwe,Aputuogya
Bono,Unknown,Apusu
Ashanti,Unknown,Apunapunu
Ashanti,Adansi South,Apumayawku
Volta,South Tongu District,Apudum
Ashanti,Atwima Nwabiagya,Apuayem
Western North,Sefwi Akontobra,Aprotu
Western North,Aowin/Suaman,Aprupruso
Ashanti,Ejisu Juaben,Aprumasi
Western North,Aowin/Suaman,Apro
Central,Agona East,Apreweti
Western,Wassa Amenfi West,Apremeso
Western,Secondi Takoradi,Apremdo
Ashanti,Unknown,Aprapon
Ashanti,Unknown,Aponapon
Western,Unknown,Aprapong
Volta,Central Tongu,Apramohukope
Eastern,Kwahu West,Apradang
Central,Gomoa East,Aprachiri
Central,Gomoa East,Apra
Western,Ahanta West,Apowa
Western,Nzema East,Apewusika
Upper East,Bongo District,Aposaga
Eastern,Asuogyaman,Apopotia
Western North,Aowin/Suaman,Aponsue
Central,Assin North,Aponsia
Western,Prestea-Huni Valley,Aponchire
Ashanti,Amansie West,Aponapona
Western,Mpohor/Wassa East,Aponapon
Ashanti,Unknown,Apomprama
Central,Gomoa East,Apomasi
Greater Accra,Tema Metropolitan District,Apolonia
Western,Jomoro,Apolon
Eastern,Birim South,Apoli
Volta,Central Tongu,Apokofe
Upper East,Bawku West,Apodabogo
Western,Nzema East,Apoaso
Greater Accra,Shai Osudoku District,Aplalu
Greater Accra,Ga South,Aplaku
Ashanti,Unknown,Apitisu
Ashanti,Amansie Central,Apitiso Number Two
Eastern,Akuapim North,Apirede
Greater Accra,Shai Osudoku District,Apinya
Ashanti,Bosomtwe,Apinkra
Volta,South Tongu District,Apinkpo
Eastern,Denkyembour,Apinamang
Eastern,Upper Manya Krobo,Apimso
Western,Shama,Apimenim
Western,Wassa Amenfi Central,Apimbo
Bono,Unknown,Apimasu
Upper East,Bolgatanga Municipal District,Apilga
Western,Mpohor/Wassa East,Apiebonso
Ashanti,Bekwai,Apibibi
Ashanti,Adansi South,Apiayaokrom
Ashanti,Asante Akim South District,Apianyinase
Central,Agona West,Apiakwa
Eastern,Asuogyaman,Apiakrom
Western North,Aowin/Suaman,Apiakrom
Central,Twifo Ati-Morkwa,Apeagyeikurom
Ashanti,Kumasi,Apeadu
Ashanti,Bosome Freho,Apewu
Volta,South Dayi,Apeviape
Eastern,Yilo Krobo,Apesua
Oti,Biakoye,Apesokubi
Eastern,Akuapim North,Apesika
Eastern,Upper West Akim,Apesika
Eastern,Birim South,Aperadi
Central,Cape Coast,Apeosika
Western,Ellembelle,Apentuo
Greater Accra,Adenta,Apenkwa
Greater Accra,Accra,Akweteyman
Ashanti,Amansie West,Apenimadi
Ashanti,Bosome Freho,Apemtu
Ashanti,Ejisu Juaben,Apemso
Ashanti,Adansi South,Apeja
Eastern,Asuogyaman,Apeguso
Eastern,East Akim,Apedwa
Central,Abura/Asebu/Kwamankese,Apeasika
Western,Ellembelle,Apatem
Western,Nzema East,Apa Tam
Volta,South Tongu District,Apatawkofe
Eastern,Asuogyaman,Apasu
Ashanti,Bekwai,Apaso
Western,Prestea-Huni Valley,Apaso
Greater Accra,Shai Osudoku District,Apasakope
Bono East,Sene,Apapaso
Eastern,East Akim,Apapam
Western,Wassa Amenfi East,Apaokrom
Eastern,Akuapim South,Apantem
Western,Tarkwa Nsuaem,Apankran
Ashanti,Ahafo Ano South,Apanimadi
Ashanti,Asante Akim South District,Apango
Central,Gomoa West,Apam
Eastern,Kwahu West,Apaku
Western,Wassa Amenfi West,Apakrom
Ashanti,Afigya-Kwabre District,Apagya
Central,Twifo Hemang Lower Denkyira,Apaikuma
Ashanti,Mampong,Apa
Western,Mpohor/Wassa East,Anyuom
Upper East,Bolgatanga Municipal District,Anyukawkaw
Eastern,Yilo Krobo,Anyuabin
Ashanti,Asante Akim North,Anyowuokrom
Central,Komenda/Edina/Eguafo/Abirem,Anyoum
Volta,Ho West,Anyirawasi
Central,Awutu Senya East Municipal,Anyino
Western,Nzema East,Anyinibuni
Ashanti,Unknown,Anyinasu
Ashanti,Ahafo Ano North,Anyinasuso
Ashanti,Ejura Sekyedumase,Anyinasu
Bono,Dormaa,Anyinasu
Ashanti,Atwima Mponua,Anyinaso
Central,Ajumako/Enyan/Essiam,Anyinaso
Eastern,East Akim,Anyinasin
Oti,Biakoye,Anyinasi
Eastern,Akyemansa,Anyinasi
Western,Prestea-Huni Valley,Anyinasi
Ashanti,Atwima Mponua,Anyinamso
Ashanti,Unknown,Anyinam
Eastern,Atiwa,Anyinam
Ashanti,Obuasi,Anyinam
Eastern,Birim South,Anyinam
Western,Wassa Amenfi West,Anyinam
Western,Wassa Amenfi East,Anyinam
Central,Twifo Ati-Morkwa,Anyinam
Western,Mpohor/Wassa East,Anyinam
Western,Prestea-Huni Valley,Anyinam
Central,Asikuma/Odoben/Brakwa,Anyinam
Western,Mpohor/Wassa East,Anyinafunso
Eastern,West Akim,Anyinabrim
Western,Mpohor/Wassa East,Enyinabirmu
Central,Mfatseman,Anyinabrim
Volta,North Dayi,Anyinabasi
Ashanti,Unknown,Ayinasu
Western North,Sefwi-Wiawso,Anyinabrim
Bono,Berekum,Anyimon
Western,Mpohor/Wassa East,Anyimaducho
Bono East,Kintampo South District,Anyima
Volta,Ketu North District,Anyigbademe
Eastern,Upper Manya Krobo,Anyieso
Eastern,Asuogyaman,Anyenso
Ashanti,Bosomtwe,Anyatiasi
Greater Accra,Unknown,Anyapo
Volta,Keta,Anyanui
Savannah,North Gonja,Anyanto
Ashanti,Offinso Municipal District,Anyankaso
Upper East,Binduri District,Anyelimatega
Greater Accra,Ada West,Anyamam
Western,Ahanta West,Tsib Ansa
Volta,Keta,Anyako
Eastern,Upper Manya Krobo,Anyaboni
Ashanti,Kumasi,Anwomaso
Ashanti,Adansi North,Anwoina
Ashanti,Offinso Municipal District,Nyiniso Number One
Central,Assin North,Anwienso
Ahafo,Asunafo South,Anwim
Western North,Sefwi-Wiawso,Anwiem
Western,Unknown,Anwiasu
Ashanti,Bosome Freho,Anwiaso
Western North,Aowin/Suaman,Anwiaso
Western,Wassa Amenfi West,Anwiasin
Central,Upper Denkyira West,Anwianwia
Western,Jomoro,Anwianwia
Western,Ellembelle,Anwea
Western,Nzema East,Anwianum
Ashanti,Bekwai,Anwiankwanta
Western,Ahanta West,Anwiun
Ashanti,Bekwai,Anwiam
Central,Agona West,Anwiam
Western,Wassa Amenfi West,Anwiam
Western,Unknown,Anwiafutu
Ashanti,Atwima Mponua,Anwiafutu
Western,Jomoro,Anwiafutu
Western,Wassa Amenfi Central,Anwiafutu
Western North,Aowin/Suaman,Anhweafutu
Western,Shama,Anwiado
Western North,Unknown,Anwia
Ashanti,Bekwai,Ahwiaa
Central,Twifo Hemang Lower Denkyira,Anwhiem
Western,Unknown,Anwhiaso South Forest Reserve
Western,Unknown,Anwhiaso East Forest Reserve
Western North,Aowin/Suaman,Anwamba
Volta,Unknown,Anviche
Ashanti,Asante Akim North,Anunuso
Ashanti,Bosome Freho,Anunuso
Ashanti,Asante Akim North,Anumso
Greater Accra,Accra,Anumle
Central,Ekumfi,Anumenchen
Eastern,Ayensuano,Anumapapam
Ashanti,Kumasi,Anomannye
Ashanti,Bosome Freho,Anumansa
Central,Mfatseman,Anumansa
Volta,North Tongu,Anumakofe
Ashanti,Asante Akim South District,Anum
Eastern,Asuogyaman,Anum
Eastern,Ayensuano,Anum
Western,Ellembelle,Anuku
Western,Ahanta West,Anoaho
Ashanti,Atwima Mponua,Antwiagyeikurom
Northern,Nanumba South,Anturo
Western North,Juaboso,Antobia
Western,Mpohor/Wassa East,Antu
Volta,Keta,Antoniokofe
Western,Wassa Amenfi Central,Anntobam
Western,Nzema East,Antobam
Ashanti,Amansie West,Antoakrom
Ashanti,Kwabre District,Antoa
Western,Mpohor/Wassa East,Antimua
Western,Prestea-Huni Valley,Antimoa
Western,Secondi Takoradi,Antimoa
Western,Ellembelle,Antiakoswaso
Western,Tarkwa Nsuaem,Antefokrom
Central,Komenda/Edina/Eguafo/Abirem,Anteado
Central,Unknown,Ante
Eastern,Upper West Akim,Ansum
Western,Shama,Ansiemua
Central,Agona East,Ansakwa
Ashanti,Adansi North,Ansa
Central,Assin North,Anpeni
Eastern,Asuogyaman,Anpeni
Western,Jomoro,Anoto
Central,Awutu Senya,Anoti
Western,Jomoro,Alomatuope
Western,Wassa Amenfi West,Anomani
Central,Upper Denkyira East,Anomadodom
Central,Mfatseman,Anomabu
Western,Prestea-Huni Valley,Anomabo
Western,Nzema East,Anomabo
Central,Gomoa East,Anokwa
Western North,Sefwi Akontobra,Akaakrom
Ashanti,Afigya-Kwabre District,Anohenekrom
Eastern,Nsawam Adoagyiri,Anoff
Western,Secondi Takoradi,Anoe
Western,Ellembelle,Anochi
Central,Assin South,Ano
Volta,Keta,Anloga
Western North,Bibiani/Ahwiaso/Bekwai,Ankwaoso
Central,Komenda/Edina/Eguafo/Abirem,Ankwana
Eastern,Akuapim South,Ankwaieso
Western North,Aowin/Suaman,Ankwahie
Eastern,Nsawam Adoagyiri,Ankwadoboro
Ashanti,Sekyere Central,Ankumadua
Eastern,Kwahu South,Ankuma
Central,Ajumako/Enyan/Essiam,Ankukrom
Bono,Dormaa West,Amkromkwanta
Western,Ellembelle,Ankrako
Western,Prestea-Huni Valley,Ankra
Eastern,Birim South,Ankonahogong
Western,Prestea-Huni Valley,Ankobra Junction
Western,Unknown,Ankwao
Western North,Aowin/Suaman,Ankauso
Ashanti,Afigya-Kwabre District,Ankaase
Ashanti,Ejisu Juaben,Ankasi
Ashanti,Bosome Freho,Ankasi
Ashanti,Bekwai,Ankasi
Western,Wassa Amenfi Central,Ankaase
Central,Komenda/Edina/Eguafo/Abirem,Ankasi
Western,Wassa Amenfi Central,Ankasi
Western,Unknown,Ankasa River Forest Reserve
Western,Jomoro,Ankasa Chi
Western,Unknown,Ankasa
Western,Prestea-Huni Valley,Ankasa
Western,Jomoro,Ankasa
Central,Gomoa West,Ankamu
Ashanti,Amansie West,Ankam
Central,Twifo Hemang Lower Denkyira,Ankako
Central,Mfatseman,Ankaful
Central,Assin North,Anka
Ashanti,Adansi North,Anitua
Ashanti,Amansie Central,Anitimfi
Ashanti,Asante Akim North,Aninsua
Ashanti,Atwima Nwabiagya,Aninkroma
Ashanti,Sekyere Afram Plains,Aninenya
Western,Ahanta West,Anindini
Western,Ahanta West,Animakrom
Upper East,Kassena Nankana,Anieregu
Western,Wassa Amenfi East,Aniboasi
Western,Nzema East,Aniben
Ashanti,Amansie West,Aniatitem
Western,Prestea-Huni Valley,Aniapam Nanso
Western,Prestea-Huni Valley,Aniantintem
Ashanti,Atwima Mponua,Aniamoa
Upper East,Bawku West,Aniago
Volta,Akatsi South,Anhyavekope
Greater Accra,Shai Osudoku District,Anhwiam
Western,Unknown,Anhien
Ashanti,Atwima Nwabiagya,Anwoma Ofin
North East,Chereponi,Angwo
Ashanti,Asante Akim North,Angwentifi
Volta,Ketu South District,Anguenu
Central,Ekumfi,Angu
Western,Mpohor,Angu
Volta,Ho West,Angoe
